GO:0000001	mitochondrion inheritance
GO:0075519	microtubule-dependent intracellular transport of viral material
GO:0075521	microtubule-dependent intracellular transport of viral material towards nucleus
GO:0075522	IRES-dependent viral translational initiation
GO:0075525	viral translational termination-reinitiation
GO:0075526	cap snatching
GO:0075528	modulation by virus of host immune response
GO:0075606	transport of viral material towards nucleus
GO:0075713	establishment of integrated proviral latency
GO:0075732	viral penetration into host nucleus
GO:0075733	intracellular transport of virus
GO:0080001	mucilage extrusion from seed coat
GO:0080003	thalianol metabolic process
GO:0080005	photosystem stoichiometry adjustment
GO:0080006	internode patterning
GO:0080007	S-nitrosoglutathione reductase activity
GO:0080008	Cul4-RING E3 ubiquitin ligase complex
GO:0080009	mRNA methylation
GO:0080013	(E,E)-geranyllinalool synthase activity
GO:0080019	fatty-acyl-CoA reductase (alcohol-forming) activity
GO:0080020	regulation of coenzyme A biosynthetic process
GO:0080021	response to benzoic acid
GO:0080022	primary root development
GO:0080023	3R-hydroxyacyl-CoA dehydratase activity
GO:0080024	indolebutyric acid metabolic process
GO:0080025	phosphatidylinositol-3,5-bisphosphate binding
GO:0080026	response to indolebutyric acid
GO:0080027	response to herbivore
GO:0080028	nitrile biosynthetic process
GO:0080029	cellular response to boron-containing substance levels
GO:0080030	methyl indole-3-acetate esterase activity
GO:0080031	methyl salicylate esterase activity
GO:0080032	methyl jasmonate esterase activity
GO:0080034	host response to induction by symbiont of tumor, nodule or growth in host
GO:0080036	regulation of cytokinin-activated signaling pathway
GO:0080037	negative regulation of cytokinin-activated signaling pathway
GO:0080038	positive regulation of cytokinin-activated signaling pathway
GO:0080040	positive regulation of cellular response to phosphate starvation
GO:0080041	ADP-ribose pyrophosphohydrolase activity
GO:0080042	ADP-glucose pyrophosphohydrolase activity
GO:0080043	quercetin 3-O-glucosyltransferase activity
GO:0080044	quercetin 7-O-glucosyltransferase activity
GO:0080045	quercetin 3'-O-glucosyltransferase activity
GO:0080046	quercetin 4'-O-glucosyltransferase activity
GO:0080047	GDP-L-galactose phosphorylase activity
GO:0080048	GDP-D-glucose phosphorylase activity
GO:0080049	L-gulono-1,4-lactone dehydrogenase activity
GO:0080050	regulation of seed development
GO:0080051	cutin transport
GO:0080052	response to histidine
GO:0080053	response to phenylalanine
GO:0080054	low-affinity nitrate transmembrane transporter activity
GO:0080056	petal vascular tissue pattern formation
GO:0080057	sepal vascular tissue pattern formation
GO:0080058	protein deglutathionylation
GO:0080060	integument development
GO:0080061	indole-3-acetonitrile nitrilase activity
GO:0080065	4-alpha-methyl-delta7-sterol oxidation
GO:0080072	spermidine:sinapoyl CoA N-acyltransferase activity
GO:0080073	spermidine:coumaroyl CoA N-acyltransferase activity
GO:0080074	spermidine:caffeoyl CoA N-acyltransferase activity
GO:0080075	spermidine:feruloyl CoA N-acyltransferase activity
GO:0080079	cellobiose glucosidase activity
GO:0080083	beta-gentiobiose beta-glucosidase activity
GO:0080084	5S rDNA binding
GO:0080085	signal recognition particle, chloroplast targeting
GO:0080086	stamen filament development
GO:0080088	spermidine hydroxycinnamate conjugate biosynthetic process
GO:0080090	regulation of primary metabolic process
GO:0080091	regulation of raffinose metabolic process
GO:0080092	regulation of pollen tube growth
GO:0080093	regulation of photorespiration
GO:0080095	phosphatidylethanolamine-sterol O-acyltransferase activity
GO:0080096	phosphatidate-sterol O-acyltransferase activity
GO:0080100	L-glutamine:2-oxoglutarate aminotransferase activity
GO:0080101	phosphatidyl-N-dimethylethanolamine N-methyltransferase activity
GO:0080108	S-alkylthiohydroximate lyase activity
GO:0080109	indole-3-acetonitrile nitrile hydratase activity
GO:0080110	sporopollenin biosynthetic process
GO:0080111	DNA demethylation
GO:0080112	seed growth
GO:0080113	regulation of seed growth
GO:0080115	myosin XI tail binding
GO:0080116	glucuronoxylan glucuronosyltransferase activity
GO:0080117	secondary growth
GO:0080119	ER body organization
GO:0080120	CAAX-box protein maturation
GO:0080121	AMP transport
GO:0080122	AMP transmembrane transporter activity
GO:0080123	jasmonate-amino synthetase activity
GO:0080124	pheophytinase activity
GO:0080126	ovary septum development
GO:0080127	fruit septum development
GO:0080129	proteasome core complex assembly
GO:0080130	L-phenylalanine:2-oxoglutarate aminotransferase activity
GO:0080132	fatty acid alpha-hydroxylase activity
GO:0080133	midchain alkane hydroxylase activity
GO:0080134	regulation of response to stress
GO:0080135	regulation of cellular response to stress
GO:0080136	priming of cellular response to stress
GO:0080139	borate efflux transmembrane transporter activity
GO:0080140	regulation of jasmonic acid metabolic process
GO:0080141	regulation of jasmonic acid biosynthetic process
GO:0080142	regulation of salicylic acid biosynthetic process
GO:0080143	regulation of amino acid export
GO:0080144	amino acid homeostasis
GO:0080146	L-cysteine desulfhydrase activity
GO:0080147	root hair cell development
GO:0080148	negative regulation of response to water deprivation
GO:0080149	sucrose induced translational repression
GO:0080151	positive regulation of salicylic acid mediated signaling pathway
GO:0080152	regulation of reductive pentose-phosphate cycle
GO:0080153	negative regulation of reductive pentose-phosphate cycle
GO:0080154	regulation of fertilization
GO:0080155	regulation of double fertilization forming a zygote and endosperm
GO:0080156	mitochondrial mRNA modification
GO:0080159	zygote elongation
GO:0080161	auxin transmembrane transporter activity
GO:0080162	intracellular auxin transport
GO:0080163	regulation of protein serine/threonine phosphatase activity
GO:0080164	regulation of nitric oxide metabolic process
GO:0080165	callose deposition in phloem sieve plate
GO:0080166	stomium development
GO:0080167	response to karrikin
GO:0080168	abscisic acid transport
GO:0080169	cellular response to boron-containing substance deprivation
GO:0080170	hydrogen peroxide transmembrane transport
GO:0080171	lytic vacuole organization
GO:0080172	petal epidermis patterning
GO:0080173	male-female gamete recognition during double fertilization forming a zygote and endosperm
GO:0080175	phragmoplast microtubule organization
GO:0080177	plastoglobule organization
GO:0080178	5-carbamoylmethyl uridine residue modification
GO:0080179	1-methylguanosine metabolic process
GO:0080180	2-methylguanosine metabolic process
GO:0080182	histone H3-K4 trimethylation
GO:0080183	response to photooxidative stress
GO:0080184	response to phenylpropanoid
GO:0080186	developmental vegetative growth
GO:0080187	floral organ senescence
GO:0080188	RNA-directed DNA methylation
GO:0080190	lateral growth
GO:0080191	secondary thickening
GO:0085018	maintenance of symbiont-containing vacuole by host
GO:0085020	protein K6-linked ubiquitination
GO:0085029	extracellular matrix assembly
GO:0085032	modulation by symbiont of host I-kappaB kinase/NF-kappaB cascade
GO:0085033	positive regulation by symbiont of host I-kappaB kinase/NF-kappaB cascade
GO:0086001	cardiac muscle cell action potential
GO:0086002	cardiac muscle cell action potential involved in contraction
GO:0086003	cardiac muscle cell contraction
GO:0086004	regulation of cardiac muscle cell contraction
GO:0086005	ventricular cardiac muscle cell action potential
GO:0086006	voltage-gated sodium channel activity involved in cardiac muscle cell action potential
GO:0086007	voltage-gated calcium channel activity involved in cardiac muscle cell action potential
GO:0086008	voltage-gated potassium channel activity involved in cardiac muscle cell action potential repolarization
GO:0086009	membrane repolarization
GO:0086010	membrane depolarization during action potential
GO:0086011	membrane repolarization during action potential
GO:0086012	membrane depolarization during cardiac muscle cell action potential
GO:0086013	membrane repolarization during cardiac muscle cell action potential
GO:0086014	atrial cardiac muscle cell action potential
GO:0086015	SA node cell action potential
GO:0086016	AV node cell action potential
GO:0086017	Purkinje myocyte action potential
GO:0086018	SA node cell to atrial cardiac muscle cell signaling
GO:0086019	cell-cell signaling involved in cardiac conduction
GO:0086023	adenylate cyclase-activating adrenergic receptor signaling pathway involved in heart process
GO:0086026	atrial cardiac muscle cell to AV node cell signaling
GO:0086027	AV node cell to bundle of His cell signaling
GO:0086028	bundle of His cell to Purkinje myocyte signaling
GO:0086029	Purkinje myocyte to ventricular cardiac muscle cell signaling
GO:0086030	adenylate cyclase-activating adrenergic receptor signaling pathway involved in cardiac muscle relaxation
GO:0086036	regulation of cardiac muscle cell membrane potential
GO:0086037	sodium:potassium-exchanging ATPase activity involved in regulation of cardiac muscle cell membrane potential
GO:0086038	calcium:sodium antiporter activity involved in regulation of cardiac muscle cell membrane potential
GO:0086041	voltage-gated potassium channel activity involved in SA node cell action potential depolarization
GO:0086042	cardiac muscle cell-cardiac muscle cell adhesion
GO:0086043	bundle of His cell action potential
GO:0086044	atrial cardiac muscle cell to AV node cell communication by electrical coupling
GO:0086045	membrane depolarization during AV node cell action potential
GO:0086046	membrane depolarization during SA node cell action potential
GO:0086047	membrane depolarization during Purkinje myocyte cell action potential
GO:0086048	membrane depolarization during bundle of His cell action potential
GO:0086050	membrane repolarization during bundle of His cell action potential
GO:0086052	membrane repolarization during SA node cell action potential
GO:0086053	AV node cell to bundle of His cell communication by electrical coupling
GO:0086054	bundle of His cell to Purkinje myocyte communication by electrical coupling
GO:0086056	voltage-gated calcium channel activity involved in AV node cell action potential
GO:0086057	voltage-gated calcium channel activity involved in bundle of His cell action potential
GO:0086059	voltage-gated calcium channel activity involved SA node cell action potential
GO:0086062	voltage-gated sodium channel activity involved in Purkinje myocyte action potential
GO:0086064	cell communication by electrical coupling involved in cardiac conduction
GO:0086065	cell communication involved in cardiac conduction
GO:0086066	atrial cardiac muscle cell to AV node cell communication
GO:0086067	AV node cell to bundle of His cell communication
GO:0086068	Purkinje myocyte to ventricular cardiac muscle cell communication
GO:0086069	bundle of His cell to Purkinje myocyte communication
GO:0086070	SA node cell to atrial cardiac muscle cell communication
GO:0086072	AV node cell-bundle of His cell adhesion involved in cell communication
GO:0086073	bundle of His cell-Purkinje myocyte adhesion involved in cell communication
GO:0086075	gap junction channel activity involved in cardiac conduction electrical coupling
GO:0086076	gap junction channel activity involved in atrial cardiac muscle cell-AV node cell electrical coupling
GO:0086077	gap junction channel activity involved in AV node cell-bundle of His cell electrical coupling
GO:0086078	gap junction channel activity involved in bundle of His cell-Purkinje myocyte electrical coupling
GO:0086080	protein binding involved in heterotypic cell-cell adhesion
GO:0086082	cell adhesive protein binding involved in AV node cell-bundle of His cell communication
GO:0086087	voltage-gated potassium channel activity involved in bundle of His cell action potential repolarization
GO:0086089	voltage-gated potassium channel activity involved in atrial cardiac muscle cell action potential repolarization
GO:0086090	voltage-gated potassium channel activity involved in SA node cell action potential repolarization
GO:0086091	regulation of heart rate by cardiac conduction
GO:0086092	regulation of the force of heart contraction by cardiac conduction
GO:0086097	phospholipase C-activating angiotensin-activated signaling pathway
GO:0086100	endothelin receptor signaling pathway
GO:0086103	G protein-coupled receptor signaling pathway involved in heart process
GO:0089700	protein kinase D signaling
GO:0089701	U2AF
GO:0089702	undecaprenyl-phosphate glucose phosphotransferase activity
GO:0089705	protein localization to outer membrane
GO:0089707	L-lysine transmembrane export from vacuole
GO:0089708	L-histidine transmembrane export from vacuole
GO:0089709	L-histidine transmembrane transport
GO:0089713	Cbf1-Met4-Met28 complex
GO:0089714	UDP-N-acetyl-D-mannosamine dehydrogenase activity
GO:0089715	tRNA m6t6A37 methyltransferase activity
GO:0089716	Pip2-Oaf1 complex
GO:0089717	spanning component of membrane
GO:0089718	amino acid import across plasma membrane
GO:0089720	caspase binding
GO:0089721	phosphoenolpyruvate transmembrane transporter activity
GO:0089722	phosphoenolpyruvate transmembrane transport
GO:0090001	replication fork arrest at tRNA locus
GO:0090006	regulation of linear element assembly
GO:0090008	hypoblast development
GO:0090009	primitive streak formation
GO:0090010	transforming growth factor beta receptor signaling pathway involved in primitive streak formation
GO:0090017	anterior neural plate formation
GO:0090022	regulation of neutrophil chemotaxis
GO:0090023	positive regulation of neutrophil chemotaxis
GO:0090024	negative regulation of neutrophil chemotaxis
GO:0090025	regulation of monocyte chemotaxis
GO:0090026	positive regulation of monocyte chemotaxis
GO:0090027	negative regulation of monocyte chemotaxis
GO:0090028	positive regulation of pheromone-dependent signal transduction involved in conjugation with cellular fusion
GO:0090029	negative regulation of pheromone-dependent signal transduction involved in conjugation with cellular fusion
GO:0090030	regulation of steroid hormone biosynthetic process
GO:0090031	positive regulation of steroid hormone biosynthetic process
GO:0090032	negative regulation of steroid hormone biosynthetic process
GO:0090033	positive regulation of filamentous growth
GO:0090034	regulation of chaperone-mediated protein complex assembly
GO:0090035	positive regulation of chaperone-mediated protein complex assembly
GO:0090036	regulation of protein kinase C signaling
GO:0090037	positive regulation of protein kinase C signaling
GO:0090038	negative regulation of protein kinase C signaling
GO:0090042	tubulin deacetylation
GO:0090043	regulation of tubulin deacetylation
GO:0090044	positive regulation of tubulin deacetylation
GO:0090045	positive regulation of deacetylase activity
GO:0090049	regulation of cell migration involved in sprouting angiogenesis
GO:0090050	positive regulation of cell migration involved in sprouting angiogenesis
GO:0090051	negative regulation of cell migration involved in sprouting angiogenesis
GO:0090052	regulation of chromatin silencing at centromere
GO:0090053	positive regulation of chromatin silencing at centromere
GO:0090054	regulation of chromatin silencing at silent mating-type cassette
GO:0090055	positive regulation of chromatin silencing at silent mating-type cassette
GO:0090056	regulation of chlorophyll metabolic process
GO:0090057	root radial pattern formation
GO:0090058	metaxylem development
GO:0090059	protoxylem development
GO:0090062	regulation of trehalose metabolic process
GO:0090063	positive regulation of microtubule nucleation
GO:0090065	regulation of production of siRNA involved in RNA interference
GO:0090066	regulation of anatomical structure size
GO:0090067	regulation of thalamus size
GO:0090068	positive regulation of cell cycle process
GO:0090069	regulation of ribosome biogenesis
GO:0090070	positive regulation of ribosome biogenesis
GO:0090071	negative regulation of ribosome biogenesis
GO:0090073	positive regulation of protein homodimerization activity
GO:0090074	negative regulation of protein homodimerization activity
GO:0090075	relaxation of muscle
GO:0090076	relaxation of skeletal muscle
GO:0090077	foam cell differentiation
GO:0090079	translation regulator activity, nucleic acid binding
GO:0090080	positive regulation of MAPKKK cascade by fibroblast growth factor receptor signaling pathway
GO:0090081	regulation of heart induction by regulation of canonical Wnt signaling pathway
GO:0090082	positive regulation of heart induction by negative regulation of canonical Wnt signaling pathway
GO:0090083	regulation of inclusion body assembly
GO:0090084	negative regulation of inclusion body assembly
GO:0090085	regulation of protein deubiquitination
GO:0090086	negative regulation of protein deubiquitination
GO:0090087	regulation of peptide transport
GO:0090088	regulation of oligopeptide transport
GO:0090089	regulation of dipeptide transport
GO:0090090	negative regulation of canonical Wnt signaling pathway
GO:0090091	positive regulation of extracellular matrix disassembly
GO:0090092	regulation of transmembrane receptor protein serine/threonine kinase signaling pathway
GO:0090093	regulation of fungal-type cell wall beta-glucan biosynthetic process
GO:0090100	positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway
GO:0090101	negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway
GO:0090102	cochlea development
GO:0090103	cochlea morphogenesis
GO:0090104	pancreatic epsilon cell differentiation
GO:0090107	regulation of high-density lipoprotein particle assembly
GO:0090108	positive regulation of high-density lipoprotein particle assembly
GO:0090109	regulation of cell-substrate junction assembly
GO:0090110	COPII-coated vesicle cargo loading
GO:0090113	regulation of ER to Golgi vesicle-mediated transport by GTP hydrolysis
GO:0090114	COPII-coated vesicle budding
GO:0090116	C-5 methylation of cytosine
GO:0090118	receptor-mediated endocytosis involved in cholesterol transport
GO:0090119	vesicle-mediated cholesterol transport
GO:0090124	N-4 methylation of cytosine
GO:0090128	regulation of synapse maturation
GO:0090129	positive regulation of synapse maturation
GO:0090130	tissue migration
GO:0090131	mesenchyme migration
GO:0090132	epithelium migration
GO:0090133	mesendoderm migration
GO:0090134	cell migration involved in mesendoderm migration
GO:0090135	actin filament branching
GO:0090136	epithelial cell-cell adhesion
GO:0090138	regulation of actin cytoskeleton organization by cell-cell adhesion
GO:0090139	mitochondrial DNA packaging
GO:0090140	regulation of mitochondrial fission
GO:0090141	positive regulation of mitochondrial fission
GO:0090143	nucleoid organization
GO:0090148	membrane fission
GO:0090149	mitochondrial membrane fission
GO:0090150	establishment of protein localization to membrane
GO:0090151	establishment of protein localization to mitochondrial membrane
GO:0090153	regulation of sphingolipid biosynthetic process
GO:0090154	positive regulation of sphingolipid biosynthetic process
GO:0090155	negative regulation of sphingolipid biosynthetic process
GO:0090156	cellular sphingolipid homeostasis
GO:0090158	endoplasmic reticulum membrane organization
GO:0090160	Golgi to lysosome transport
GO:0090161	Golgi ribbon formation
GO:0090162	establishment of epithelial cell polarity
GO:0090163	establishment of epithelial cell planar polarity
GO:0090164	asymmetric Golgi ribbon formation
GO:0090166	Golgi disassembly
GO:0090168	Golgi reassembly
GO:0090169	regulation of spindle assembly
GO:0090171	chondrocyte morphogenesis
GO:0090172	microtubule cytoskeleton organization involved in homologous chromosome segregation
GO:0090173	regulation of synaptonemal complex assembly
GO:0090174	organelle membrane fusion
GO:0090175	regulation of establishment of planar polarity
GO:0090176	microtubule cytoskeleton organization involved in establishment of planar polarity
GO:0090177	establishment of planar polarity involved in neural tube closure
GO:0090178	regulation of establishment of planar polarity involved in neural tube closure
GO:0090179	planar cell polarity pathway involved in neural tube closure
GO:0090180	positive regulation of thiamine biosynthetic process
GO:0090181	regulation of cholesterol metabolic process
GO:0090182	regulation of secretion of lysosomal enzymes
GO:0090183	regulation of kidney development
GO:0090184	positive regulation of kidney development
GO:0090185	negative regulation of kidney development
GO:0090186	regulation of pancreatic juice secretion
GO:0090187	positive regulation of pancreatic juice secretion
GO:0090188	negative regulation of pancreatic juice secretion
GO:0090189	regulation of branching involved in ureteric bud morphogenesis
GO:0090190	positive regulation of branching involved in ureteric bud morphogenesis
GO:0090191	negative regulation of branching involved in ureteric bud morphogenesis
GO:0090192	regulation of glomerulus development
GO:0090193	positive regulation of glomerulus development
GO:0090194	negative regulation of glomerulus development
GO:0090195	chemokine secretion
GO:0090196	regulation of chemokine secretion
GO:0090197	positive regulation of chemokine secretion
GO:0090198	negative regulation of chemokine secretion
GO:0090199	regulation of release of cytochrome c from mitochondria
GO:0090200	positive regulation of release of cytochrome c from mitochondria
GO:0090201	negative regulation of release of cytochrome c from mitochondria
GO:0090202	gene looping
GO:0090203	transcriptional activation by promoter-terminator looping
GO:0090204	protein localization to nuclear pore
GO:0090205	positive regulation of cholesterol metabolic process
GO:0090206	negative regulation of cholesterol metabolic process
GO:0090207	regulation of triglyceride metabolic process
GO:0090208	positive regulation of triglyceride metabolic process
GO:0090209	negative regulation of triglyceride metabolic process
GO:0090210	regulation of establishment of blood-brain barrier
GO:0090212	negative regulation of establishment of blood-brain barrier
GO:0090213	regulation of radial pattern formation
GO:0090214	spongiotrophoblast layer developmental growth
GO:0090215	regulation of 1-phosphatidylinositol-4-phosphate 5-kinase activity
GO:0090216	positive regulation of 1-phosphatidylinositol-4-phosphate 5-kinase activity
GO:0090217	negative regulation of 1-phosphatidylinositol-4-phosphate 5-kinase activity
GO:0090218	positive regulation of lipid kinase activity
GO:0090219	negative regulation of lipid kinase activity
GO:0090220	chromosome localization to nuclear envelope involved in homologous chromosome segregation
GO:0090222	centrosome-templated microtubule nucleation
GO:0090224	regulation of spindle organization
GO:0090226	regulation of microtubule nucleation by Ran protein signal transduction
GO:0090227	regulation of red or far-red light signaling pathway
GO:0090228	positive regulation of red or far-red light signaling pathway
GO:0090229	negative regulation of red or far-red light signaling pathway
GO:0090230	regulation of centromere complex assembly
GO:0090231	regulation of spindle checkpoint
GO:0090232	positive regulation of spindle checkpoint
GO:0090233	negative regulation of spindle checkpoint
GO:0090234	regulation of kinetochore assembly
GO:0090235	regulation of metaphase plate congression
GO:0090237	regulation of arachidonic acid secretion
GO:0090238	positive regulation of arachidonic acid secretion
GO:0090239	regulation of histone H4 acetylation
GO:0090240	positive regulation of histone H4 acetylation
GO:0090241	negative regulation of histone H4 acetylation
GO:0090242	retinoic acid receptor signaling pathway involved in somitogenesis
GO:0090243	fibroblast growth factor receptor signaling pathway involved in somitogenesis
GO:0090244	Wnt signaling pathway involved in somitogenesis
GO:0090245	axis elongation involved in somitogenesis
GO:0090249	regulation of cell motility involved in somitogenic axis elongation
GO:0090250	cell-cell adhesion involved in establishment of planar polarity
GO:0090251	protein localization involved in establishment of planar polarity
GO:0090254	cell elongation involved in imaginal disc-derived wing morphogenesis
GO:0090256	regulation of cell proliferation involved in imaginal disc-derived wing morphogenesis
GO:0090257	regulation of muscle system process
GO:0090258	negative regulation of mitochondrial fission
GO:0090259	regulation of retinal ganglion cell axon guidance
GO:0090261	positive regulation of inclusion body assembly
GO:0090262	regulation of transcription-coupled nucleotide-excision repair
GO:0090263	positive regulation of canonical Wnt signaling pathway
GO:0090264	regulation of immune complex clearance by monocytes and macrophages
GO:0090265	positive regulation of immune complex clearance by monocytes and macrophages
GO:0090266	regulation of mitotic cell cycle spindle assembly checkpoint
GO:0090267	positive regulation of mitotic cell cycle spindle assembly checkpoint
GO:0090268	activation of mitotic cell cycle spindle assembly checkpoint
GO:0090269	fibroblast growth factor production
GO:0090270	regulation of fibroblast growth factor production
GO:0090271	positive regulation of fibroblast growth factor production
GO:0090272	negative regulation of fibroblast growth factor production
GO:0090273	regulation of somatostatin secretion
GO:0090274	positive regulation of somatostatin secretion
GO:0090275	negative regulation of somatostatin secretion
GO:0090276	regulation of peptide hormone secretion
GO:0090277	positive regulation of peptide hormone secretion
GO:0090278	negative regulation of peptide hormone secretion
GO:0090279	regulation of calcium ion import
GO:0090280	positive regulation of calcium ion import
GO:0090281	negative regulation of calcium ion import
GO:0090282	positive regulation of transcription involved in G2/M transition of mitotic cell cycle
GO:0090283	regulation of protein glycosylation in Golgi
GO:0090284	positive regulation of protein glycosylation in Golgi
GO:0090285	negative regulation of protein glycosylation in Golgi
GO:0090286	cytoskeletal anchoring at nuclear membrane
GO:0090287	regulation of cellular response to growth factor stimulus
GO:0090288	negative regulation of cellular response to growth factor stimulus
GO:0090289	regulation of osteoclast proliferation
GO:0090290	positive regulation of osteoclast proliferation
GO:0090292	nuclear matrix anchoring at nuclear membrane
GO:0090293	nitrogen catabolite regulation of transcription
GO:0090294	nitrogen catabolite activation of transcription
GO:0090295	nitrogen catabolite repression of transcription
GO:0090296	regulation of mitochondrial DNA replication
GO:0090297	positive regulation of mitochondrial DNA replication
GO:0090298	negative regulation of mitochondrial DNA replication
GO:0090299	regulation of neural crest formation
GO:0090301	negative regulation of neural crest formation
GO:0090303	positive regulation of wound healing
GO:0090304	nucleic acid metabolic process
GO:0090305	nucleic acid phosphodiester bond hydrolysis
GO:0090306	spindle assembly involved in meiosis
GO:0090307	mitotic spindle assembly
GO:0090308	regulation of methylation-dependent chromatin silencing
GO:0090309	positive regulation of methylation-dependent chromatin silencing
GO:0090310	negative regulation of methylation-dependent chromatin silencing
GO:0090311	regulation of protein deacetylation
GO:0090312	positive regulation of protein deacetylation
GO:0090313	regulation of protein targeting to membrane
GO:0090314	positive regulation of protein targeting to membrane
GO:0090315	negative regulation of protein targeting to membrane
GO:0090316	positive regulation of intracellular protein transport
GO:0090317	negative regulation of intracellular protein transport
GO:0090318	regulation of chylomicron remodeling
GO:0090319	positive regulation of chylomicron remodeling
GO:0090320	regulation of chylomicron remnant clearance
GO:0090321	positive regulation of chylomicron remnant clearance
GO:0090322	regulation of superoxide metabolic process
GO:0090324	negative regulation of oxidative phosphorylation
GO:0090325	regulation of locomotion involved in locomotory behavior
GO:0090326	positive regulation of locomotion involved in locomotory behavior
GO:0090327	negative regulation of locomotion involved in locomotory behavior
GO:0090328	regulation of olfactory learning
GO:0090329	regulation of DNA-dependent DNA replication
GO:0090330	regulation of platelet aggregation
GO:0090331	negative regulation of platelet aggregation
GO:0090332	stomatal closure
GO:0090333	regulation of stomatal closure
GO:0090334	regulation of cell wall (1->3)-beta-D-glucan biosynthetic process
GO:0090335	regulation of brown fat cell differentiation
GO:0090336	positive regulation of brown fat cell differentiation
GO:0090337	regulation of formin-nucleated actin cable assembly
GO:0090338	positive regulation of formin-nucleated actin cable assembly
GO:0090339	negative regulation of formin-nucleated actin cable assembly
GO:0090340	positive regulation of secretion of lysosomal enzymes
GO:0090341	negative regulation of secretion of lysosomal enzymes
GO:0090342	regulation of cell aging
GO:0090343	positive regulation of cell aging
GO:0090344	negative regulation of cell aging
GO:0090345	cellular organohalogen metabolic process
GO:0090346	cellular organofluorine metabolic process
GO:0090351	seedling development
GO:0090352	regulation of nitrate assimilation
GO:0090353	polygalacturonase inhibitor activity
GO:0090354	regulation of auxin metabolic process
GO:0090355	positive regulation of auxin metabolic process
GO:0090356	negative regulation of auxin metabolic process
GO:0090357	regulation of tryptophan metabolic process
GO:0090358	positive regulation of tryptophan metabolic process
GO:0090359	negative regulation of abscisic acid biosynthetic process
GO:0090361	regulation of platelet-derived growth factor production
GO:0090362	positive regulation of platelet-derived growth factor production
GO:0090363	regulation of proteasome core complex assembly
GO:0090364	regulation of proteasome assembly
GO:0090365	regulation of mRNA modification
GO:0090366	positive regulation of mRNA modification
GO:0090368	regulation of ornithine metabolic process
GO:0090369	ornithine carbamoyltransferase inhibitor activity
GO:0090370	negative regulation of cholesterol efflux
GO:0090371	regulation of glycerol transport
GO:0090372	positive regulation of glycerol transport
GO:0090374	oligopeptide export from mitochondrion
GO:0090375	negative regulation of transcription from RNA polymerase II promoter in response to iron ion starvation
GO:0090376	seed trichome differentiation
GO:0090377	seed trichome initiation
GO:0090378	seed trichome elongation
GO:0090379	secondary cell wall biogenesis involved in seed trichome differentiation
GO:0090381	regulation of heart induction
GO:0090382	phagosome maturation
GO:0090383	phagosome acidification
GO:0090385	phagosome-lysosome fusion
GO:0090386	phagosome maturation involved in apoptotic cell clearance
GO:0090387	phagolysosome assembly involved in apoptotic cell clearance
GO:0090389	phagosome-lysosome fusion involved in apoptotic cell clearance
GO:0090391	granum assembly
GO:0090394	negative regulation of excitatory postsynaptic potential
GO:0090395	plant cell papilla
GO:0090397	stigma papilla
GO:0090398	cellular senescence
GO:0090399	replicative senescence
GO:0090400	stress-induced premature senescence
GO:0090402	oncogene-induced cell senescence
GO:0090403	oxidative stress-induced premature senescence
GO:0090404	pollen tube tip
GO:0090406	pollen tube
GO:0090407	organophosphate biosynthetic process
GO:0090408	phloem nitrate loading
GO:0090409	malonyl-CoA synthetase activity
GO:0090410	malonate catabolic process
GO:0090414	molybdate ion export from vacuole
GO:0090415	7-hydroxymethyl chlorophyll a reductase activity
GO:0090416	nicotinate transmembrane transporter activity
GO:0090417	N-methylnicotinate transmembrane transporter activity
GO:0090419	negative regulation of transcription involved in G2/M transition of mitotic cell cycle
GO:0090420	naphthalene-containing compound metabolic process
GO:0090421	embryonic meristem initiation
GO:0090422	thiamine pyrophosphate transmembrane transporter activity
GO:0090423	phytochelatin-metal complex formation
GO:0090426	actin filament bundle convergence
GO:0090427	activation of meiosis
GO:0090428	perianth development
GO:0090429	detection of endogenous biotic stimulus
GO:0090430	caffeoyl-CoA: alcohol caffeoyl transferase activity
GO:0090431	alkyl caffeate ester biosynthetic process
GO:0090432	myristoyl-CoA ligase activity
GO:0090433	palmitoyl-CoA ligase activity
GO:0090434	oleoyl-CoA ligase activity
GO:0090435	protein localization to nuclear envelope
GO:0090436	leaf pavement cell development
GO:0090437	socket cell differentiation
GO:0090439	tetraketide alpha-pyrone synthase activity
GO:0090440	abscisic acid transmembrane transporter activity
GO:0090441	trehalose biosynthesis in response to heat stress
GO:0090443	FAR/SIN/STRIPAK complex
GO:0090444	regulation of nematode larval development, heterochronic
GO:0090447	glycerol-3-phosphate 2-O-acyltransferase activity
GO:0090449	phloem glucosinolate loading
GO:0090451	cotyledon boundary formation
GO:0090454	glutamate transmembrane import into vacuole
GO:0090461	glutamate homeostasis
GO:0090463	lysine homeostasis
GO:0090464	histidine homeostasis
GO:0090465	arginine homeostasis
GO:0090470	shoot organ boundary specification
GO:0090471	9,15,9'-tri-cis-zeta-carotene isomerase activity
GO:0090472	dibasic protein processing
GO:0090474	arg-arg specific dibasic protein processing
GO:0090480	purine nucleotide-sugar transmembrane transport
GO:0090481	pyrimidine nucleotide-sugar transmembrane transport
GO:0090482	vitamin transmembrane transporter activity
GO:0090483	phosphatidylglycerol-phosphatidylethanolamine phosphatidyltransferase activity
